time,dt,gb_area,grain_tracker,ngrains,total_solute
0,0,10907.779432504,30,1,349854.70573475
20,20,9985.1457947963,30,1,349854.70573475
40,20,9257.5823915414,30,1,349854.70573475
60,20,8962.5962792693,30,1,349854.70573475
80,20,8822.6143468816,30,1,349854.70573475
100,20,8722.898170046,30,1,349854.70573475
120,20,8643.3813602171,30,1,349854.70573475
140,20,8579.4309413459,30,1,349854.70573475
160,20,8527.1087450518,30,1,349854.70573475
180,20,8482.83330511,30,1,349854.70573475
200,20,8444.1369816045,30,1,349854.70573475
220,20,8409.4263531176,30,1,349854.70573475
240,20,8377.7456488057,30,1,349854.70573475
260,20,8348.5862160411,30,1,349854.70573475
280,20,8321.814589671,30,1,349854.70573475
300,20,8297.3696497107,30,1,349854.70573475
320,20,8274.9566375564,30,1,349854.70573475
340,20,8254.0782618129,30,1,349854.70573475
360,20,8236.3972290597,30,1,349854.70573475
380,20,8216.4493224104,30,1,349854.70573475
400,20,8198.0500651431,30,1,349854.70573475
420,20,8180.4533711829,30,1,349854.70573475
440,20,8163.2240519395,30,1,349854.70573475
460,20,8146.3771197743,30,1,349854.70573475
480,20,8129.9705302734,30,1,349854.70573475
500,20,8113.8969599946,30,1,349854.70573475
520,20,8097.9137825965,30,1,349854.70573475
540,20,8081.6988870581,30,1,349854.70573475
560,20,8064.7668424387,30,1,349854.70573475
580,20,8046.173925409,30,1,349854.70573475
600,20,8024.0238114235,30,1,349854.70573475
620,20,8001.5141135591,30,1,349854.70573475
640,20,7982.7997959117,29,1,349854.70573475
660,20,7967.7625535274,29,1,349854.70573475
680,20,7953.9426589138,29,1,349854.70573475
700,20,7940.5266324959,29,1,349854.70573475
720,20,7927.8378845564,29,1,349854.70573475
740,20,7915.5082339583,29,1,349854.70573475
760,20,7903.027572335,29,1,349854.70573475
780,20,7890.0640660726,29,1,349854.70573475
800,20,7876.5795539987,29,1,349854.70573475
820,20,7861.5422707928,29,1,349854.70573475
840,20,7842.3781059444,29,1,349854.70573475
860,20,7823.6259067448,28,1,349854.70573475
880,20,7808.844967626,28,1,349854.70573475
900,20,7797.8713160591,28,1,349854.70573475
920,20,7787.4800341208,28,1,349854.70573475
940,20,7777.1144956477,28,1,349854.70573475
960,20,7767.1523070267,28,1,349854.70573475
980,20,7757.5808380842,28,1,349854.70573475
1000,20,7748.235562082,28,1,349854.70573475
1020,20,7738.9620604626,28,1,349854.70573475
1040,20,7729.6586836785,28,1,349854.70573475
1060,20,7720.2675607561,28,1,349854.70573475
1080,20,7710.8116475953,28,1,349854.70573475
1100,20,7701.3994200931,28,1,349854.70573475
1120,20,7692.1613769253,28,1,349854.70573475
1140,20,7683.017633624,28,1,349854.70573475
1160,20,7673.7447307371,28,1,349854.70573475
1180,20,7664.0317407679,28,1,349854.70573475
1200,20,7653.5812316465,28,1,349854.70573475
1220,20,7642.0204652878,28,1,349854.70573475
1240,20,7628.3416582632,28,1,349854.70573475
1260,20,7613.3613106212,28,1,349854.70573475
1280,20,7600.590728049,27,1,349854.70573475
1300,20,7590.7935370797,27,1,349854.70573475
1320,20,7583.7530785723,27,1,349854.70573475
1340,20,7576.586461827,27,1,349854.70573475
1360,20,7569.474805746,27,1,349854.70573475
1380,20,7562.424441053,27,1,349854.70573475
1400,20,7555.3073603557,27,1,349854.70573475
1420,20,7548.0083729492,27,1,349854.70573475
1440,20,7540.5041475136,27,1,349854.70573475
1460,20,7532.8029350249,27,1,349854.70573475
1480,20,7524.8498884135,27,1,349854.70573475
1500,20,7516.4934208105,27,1,349854.70573475
